Country,SpatialDim,TimeDim,NumericValue,Low,High,Value
Andorra,AND,1993,8.14008,3.00249,16.34845,8.1 [3.0-16.3]
Andorra,AND,1996,6.40568,3.278,10.75715,6.4 [3.3-10.8]
Andorra,AND,1991,5.6531,2.01704,11.68021,5.7 [2.0-11.7]
Andorra,AND,1999,7.82973,3.00476,15.36408,7.8 [3.0-15.4]
Andorra,AND,1997,6.64894,3.43541,11.1055,6.6 [3.4-11.1]
Andorra,AND,2003,11.1577,4.48297,21.22587,11.2 [4.5-21.2]
Andorra,AND,2020,11.38939,3.97621,22.96482,11.4 [4.0-23.0]
Andorra,AND,2009,8.51011,4.56904,13.7694,8.5 [4.6-13.8]
Andorra,AND,2006,8.07003,4.30177,13.18542,8.1 [4.3-13.2]
Andorra,AND,2017,7.11779,2.29343,15.40611,7.1 [2.3-15.4]
Andorra,AND,2022,8.94111,1.96803,21.94035,8.9 [2.0-21.9]
Andorra,AND,2013,12.17215,5.1604,22.45138,12.2 [5.2-22.5]
Andorra,AND,2021,8.77981,2.14499,20.84107,8.8 [2.1-20.8]
Andorra,AND,2021,11.55775,3.78527,23.9689,11.6 [3.8-24.0]
Andorra,AND,2002,9.73262,5.1311,15.8401,9.7 [5.1-15.8]
Andorra,AND,2007,8.18493,4.37404,13.26395,8.2 [4.4-13.3]
Andorra,AND,2014,10.25065,5.46018,16.37724,10.3 [5.5-16.4]
Andorra,AND,2001,8.17792,3.16463,15.92049,8.2 [3.2-15.9]
Andorra,AND,2020,8.62563,2.27549,19.87454,8.6 [2.3-19.9]
Andorra,AND,1999,8.03016,3.04836,15.92172,8.0 [3.0-15.9]
Andorra,AND,2008,9.63962,4.03993,18.10261,9.6 [4.0-18.1]
Andorra,AND,2007,9.41948,3.90126,17.81772,9.4 [3.9-17.8]
Andorra,AND,2019,7.309,2.05124,16.55459,7.3 [2.1-16.6]
Andorra,AND,2003,9.28655,3.69208,17.87857,9.3 [3.7-17.9]
Andorra,AND,1998,7.68243,2.94521,15.08512,7.7 [2.9-15.1]
Andorra,AND,2020,9.45038,4.30688,16.62014,9.5 [4.3-16.6]
Andorra,AND,1993,6.83351,2.52805,13.82647,6.8 [2.5-13.8]
Andorra,AND,1995,5.41988,1.9975,11.0384,5.4 [2.0-11.0]
Andorra,AND,1992,7.88492,2.85242,15.83772,7.9 [2.9-15.8]
Andorra,AND,2009,9.91169,4.23389,18.45518,9.9 [4.2-18.5]
Andorra,AND,2018,7.2023,2.19781,15.92237,7.2 [2.2-15.9]
Andorra,AND,2004,8.32819,3.21983,16.17159,8.3 [3.2-16.2]
Andorra,AND,2002,11.00108,4.34325,21.14055,11.0 [4.3-21.1]
Andorra,AND,2015,10.66029,4.44007,19.95217,10.7 [4.4-20.0]
Andorra,AND,1995,8.74944,3.32136,17.38998,8.7 [3.3-17.4]
Andorra,AND,1990,7.50038,2.70872,15.19415,7.5 [2.7-15.2]
Andorra,AND,2016,12.71751,5.23924,23.76156,12.7 [5.2-23.8]
Andorra,AND,2006,9.86467,5.27152,15.9785,9.9 [5.3-16.0]
Andorra,AND,1999,9.95727,3.83043,19.53368,10.0 [3.8-19.5]
Andorra,AND,2007,11.44584,4.79091,21.42985,11.4 [4.8-21.4]
Andorra,AND,2000,7.4663,3.89037,12.27988,7.5 [3.9-12.3]
Andorra,AND,2009,11.81526,5.08916,21.77748,11.8 [5.1-21.8]
Andorra,AND,2008,11.62108,4.91379,21.62069,11.6 [4.9-21.6]
Andorra,AND,2010,10.22208,5.54155,16.3409,10.2 [5.5-16.3]
Andorra,AND,2002,8.34243,3.26289,16.29152,8.3 [3.3-16.3]
Andorra,AND,2009,6.98598,2.72376,13.89484,7.0 [2.7-13.9]
Andorra,AND,2002,8.05814,4.23127,13.24903,8.1 [4.2-13.2]
Andorra,AND,1997,7.53019,2.85788,14.95036,7.5 [2.9-15.0]
Andorra,AND,2005,11.18604,4.6067,21.16456,11.2 [4.6-21.2]
Andorra,AND,2012,12.07933,5.22556,22.1325,12.1 [5.2-22.1]
Andorra,AND,2006,6.78067,2.63973,13.44158,6.8 [2.6-13.4]
Andorra,AND,1994,5.20446,1.9161,10.66227,5.2 [1.9-10.7]
Andorra,AND,1993,5.58576,2.81122,9.54473,5.6 [2.8-9.5]
Andorra,AND,2001,8.81491,3.43998,17.03378,8.8 [3.4-17.0]
Andorra,AND,2000,8.42583,3.22289,16.55122,8.4 [3.2-16.6]
Andorra,AND,2002,9.15777,3.57425,17.75645,9.2 [3.6-17.8]
Andorra,AND,2006,9.24882,3.79176,17.55469,9.2 [3.8-17.6]
Andorra,AND,1996,7.10566,2.65427,14.27604,7.1 [2.7-14.3]
Andorra,AND,1997,9.36801,3.57292,18.50475,9.4 [3.6-18.5]
Andorra,AND,2016,8.9413,4.6438,14.71249,8.9 [4.6-14.7]
Andorra,AND,1997,5.81641,2.15816,11.73826,5.8 [2.2-11.7]
Andorra,AND,2012,10.26553,4.41075,18.97724,10.3 [4.4-19.0]
Andorra,AND,2008,6.90078,2.68225,13.66465,6.9 [2.7-13.7]
Andorra,AND,1991,4.81658,1.69327,10.1297,4.8 [1.7-10.1]
Andorra,AND,2018,8.3534,2.58128,18.2566,8.4 [2.6-18.3]
Andorra,AND,2014,10.52253,4.42192,19.63511,10.5 [4.4-19.6]
Andorra,AND,2005,6.76745,2.60744,13.34303,6.8 [2.6-13.3]
Andorra,AND,2000,6.41917,2.4292,12.63979,6.4 [2.4-12.6]
Andorra,AND,1996,8.27799,4.28764,13.76412,8.3 [4.3-13.8]
Andorra,AND,2011,12.05494,5.23899,21.98615,12.1 [5.2-22.0]
Andorra,AND,1990,4.78458,1.63097,10.10697,4.8 [1.6-10.1]
Andorra,AND,2013,7.00809,2.59852,14.43055,7.0 [2.6-14.4]
Andorra,AND,2009,10.16767,5.50055,16.34393,10.2 [5.5-16.3]
Andorra,AND,2017,10.58213,5.398,17.55504,10.6 [5.4-17.6]
Andorra,AND,2019,9.29159,4.39584,16.06134,9.3 [4.4-16.1]
Andorra,AND,1994,6.39968,2.34375,12.98358,6.4 [2.3-13.0]
Andorra,AND,2016,7.06722,2.35446,15.11252,7.1 [2.4-15.1]
Andorra,AND,1995,7.16142,2.68169,14.34323,7.2 [2.7-14.3]
Andorra,AND,1992,5.78187,2.05084,11.8597,5.8 [2.1-11.9]
Andorra,AND,2013,10.36869,4.39145,19.22323,10.4 [4.4-19.2]
Andorra,AND,1992,5.3575,2.66893,9.2112,5.4 [2.7-9.2]
Andorra,AND,2011,10.23265,4.40594,18.84476,10.2 [4.4-18.8]
Andorra,AND,1993,6.07527,2.22112,12.35606,6.1 [2.2-12.4]
Andorra,AND,2007,8.31176,3.30848,16.29149,8.3 [3.3-16.3]
Andorra,AND,2021,7.58512,1.82616,18.23776,7.6 [1.8-18.2]
Andorra,AND,2008,8.33146,4.47028,13.49145,8.3 [4.5-13.5]
Andorra,AND,1992,7.33378,3.70397,12.38686,7.3 [3.7-12.4]
Andorra,AND,2001,6.65483,2.54275,13.12319,6.7 [2.5-13.1]
Andorra,AND,2004,8.0566,4.26086,13.1686,8.1 [4.3-13.2]
Andorra,AND,2015,8.86308,4.65778,14.39491,8.9 [4.7-14.4]
Andorra,AND,2005,8.01987,4.24681,13.13894,8.0 [4.2-13.1]
Andorra,AND,2022,9.7709,4.07906,18.07394,9.8 [4.1-18.1]
Andorra,AND,2015,7.03679,2.45725,14.88815,7.0 [2.5-14.9]
Andorra,AND,2003,9.83791,5.21219,15.98762,9.8 [5.2-16.0]
Andorra,AND,2002,6.87268,2.64936,13.56942,6.9 [2.6-13.6]
Andorra,AND,1999,7.1577,3.70998,11.90069,7.2 [3.7-11.9]
Andorra,AND,2022,11.47066,4.81814,20.89549,11.5 [4.8-20.9]
Andorra,AND,1998,6.89008,3.55151,11.48427,6.9 [3.6-11.5]
Andorra,AND,2012,8.65243,4.67381,13.92258,8.7 [4.7-13.9]
Andorra,AND,2012,10.16232,5.51159,16.18362,10.2 [5.5-16.2]
Andorra,AND,1991,7.14251,3.59017,12.2045,7.1 [3.6-12.2]
Andorra,AND,1998,9.64924,3.66717,18.88982,9.6 [3.7-18.9]
Andorra,AND,2015,8.12758,2.86804,16.99528,8.1 [2.9-17.0]
Andorra,AND,2016,8.16457,2.74877,17.24524,8.2 [2.7-17.2]
Andorra,AND,2010,8.63934,4.65566,13.90914,8.6 [4.7-13.9]
Andorra,AND,2021,11.27288,4.9462,20.22656,11.3 [4.9-20.2]
Andorra,AND,2022,13.9307,4.23489,29.32551,13.9 [4.2-29.3]
Andorra,AND,2020,13.50427,4.75619,27.00217,13.5 [4.8-27.0]
Andorra,AND,2021,9.60994,4.17156,17.39967,9.6 [4.2-17.4]
Andorra,AND,2011,10.19491,5.55729,16.27099,10.2 [5.6-16.3]
Andorra,AND,2007,9.95694,5.33657,16.0856,10.0 [5.3-16.1]
Andorra,AND,2010,10.14384,4.33428,18.68662,10.1 [4.3-18.7]
Andorra,AND,2017,8.24588,2.68443,17.58114,8.2 [2.7-17.6]
Andorra,AND,1995,8.01406,4.15241,13.41269,8.0 [4.2-13.4]
Andorra,AND,2003,6.9133,2.67432,13.75247,6.9 [2.7-13.8]
Andorra,AND,1995,6.75826,2.52948,13.71318,6.8 [2.5-13.7]
Andorra,AND,2011,7.02186,2.68655,14.12529,7.0 [2.7-14.1]
Andorra,AND,1997,8.51002,4.4078,14.05915,8.5 [4.4-14.1]
Andorra,AND,2008,10.0567,5.4234,16.15307,10.1 [5.4-16.2]
Andorra,AND,2008,8.33046,3.27841,16.31386,8.3 [3.3-16.3]
Andorra,AND,2014,8.12688,2.9654,16.7363,8.1 [3.0-16.7]
Andorra,AND,2018,11.05635,4.22087,21.57276,11.1 [4.2-21.6]
Andorra,AND,2006,11.2905,4.65685,21.20003,11.3 [4.7-21.2]
Andorra,AND,2009,8.35591,3.28483,16.43225,8.4 [3.3-16.4]
Andorra,AND,2013,8.70986,4.66372,14.05608,8.7 [4.7-14.1]
Andorra,AND,2013,8.14563,3.04334,16.6226,8.1 [3.0-16.6]
Andorra,AND,2018,13.08371,5.03053,25.35757,13.1 [5.0-25.4]
Andorra,AND,2017,12.89581,5.11804,24.39326,12.9 [5.1-24.4]
Andorra,AND,2012,6.99034,2.63767,14.21741,7.0 [2.6-14.2]
Andorra,AND,2005,9.80642,5.24129,15.92548,9.8 [5.2-15.9]
Andorra,AND,1994,5.8438,2.96512,9.98067,5.8 [3.0-10.0]
Andorra,AND,2001,10.69299,4.21835,20.50861,10.7 [4.2-20.5]
Andorra,AND,2005,9.16752,3.74412,17.52577,9.2 [3.7-17.5]
Andorra,AND,2011,8.65256,4.68279,13.89767,8.7 [4.7-13.9]
Andorra,AND,1998,7.69396,2.88195,15.31169,7.7 [2.9-15.3]
Andorra,AND,1990,5.23913,2.55276,9.10195,5.2 [2.6-9.1]
Andorra,AND,1996,7.35355,2.76947,14.69576,7.4 [2.8-14.7]
Andorra,AND,2022,11.73564,3.54514,24.86242,11.7 [3.5-24.9]
Andorra,AND,2021,13.71053,4.51779,28.31087,13.7 [4.5-28.3]
Andorra,AND,2022,7.71878,1.68212,19.18183,7.7 [1.7-19.2]
Andorra,AND,1997,7.39939,2.77781,14.78882,7.4 [2.8-14.8]
Andorra,AND,2017,10.91155,4.3213,20.88999,10.9 [4.3-20.9]
Andorra,AND,1995,6.12983,3.1391,10.35161,6.1 [3.1-10.4]
Andorra,AND,2016,10.44408,5.44793,17.00958,10.4 [5.4-17.0]
Andorra,AND,1999,6.19869,2.34938,12.22888,6.2 [2.3-12.2]
Andorra,AND,1998,8.72851,4.52766,14.48191,8.7 [4.5-14.5]
Andorra,AND,2019,13.28673,4.90255,26.0155,13.3 [4.9-26.0]
Andorra,AND,2010,7.04775,2.74454,14.10528,7.0 [2.7-14.1]
Andorra,AND,2007,6.83248,2.68763,13.54288,6.8 [2.7-13.5]
Andorra,AND,2000,9.22617,4.83682,15.09293,9.2 [4.8-15.1]
Andorra,AND,2020,7.44594,1.9401,17.44336,7.4 [1.9-17.4]
Andorra,AND,1996,9.08317,3.45175,17.91658,9.1 [3.5-17.9]
Andorra,AND,2011,8.26332,3.20397,16.51238,8.3 [3.2-16.5]
Andorra,AND,2001,7.77788,4.07922,12.76433,7.8 [4.1-12.8]
Andorra,AND,2004,6.81397,2.61217,13.47624,6.8 [2.6-13.5]
Andorra,AND,2005,8.28522,3.21963,16.10383,8.3 [3.2-16.1]
Andorra,AND,1999,8.95711,4.69199,14.74903,9.0 [4.7-14.7]
Andorra,AND,2004,11.15612,4.58908,21.1491,11.2 [4.6-21.1]
Andorra,AND,2010,11.98179,5.16291,21.89288,12.0 [5.2-21.9]
Andorra,AND,1993,5.01983,1.84263,10.34896,5.0 [1.8-10.3]
Andorra,AND,1990,6.41614,2.21895,13.39209,6.4 [2.2-13.4]
Andorra,AND,1992,6.69085,2.45416,13.54436,6.7 [2.5-13.5]
Andorra,AND,2018,10.73784,5.30256,18.12095,10.7 [5.3-18.1]
Andorra,AND,2012,8.18358,3.12963,16.54622,8.2 [3.1-16.5]
Andorra,AND,1991,7.65434,2.78556,15.52657,7.7 [2.8-15.5]
Andorra,AND,1993,7.54033,3.83389,12.71446,7.5 [3.8-12.7]
Andorra,AND,1990,6.99455,3.46138,12.00543,7.0 [3.5-12.0]
Andorra,AND,2006,8.29113,3.26764,16.09989,8.3 [3.3-16.1]
Andorra,AND,1991,5.26512,2.60448,9.09367,5.3 [2.6-9.1]
Andorra,AND,2001,9.49761,5.00812,15.51206,9.5 [5.0-15.5]
Andorra,AND,2020,11.08679,5.09152,19.36239,11.1 [5.1-19.4]
Andorra,AND,2019,11.21033,4.13892,22.19592,11.2 [4.1-22.2]
Andorra,AND,2003,8.1455,4.29517,13.30668,8.1 [4.3-13.3]
Andorra,AND,2015,10.33549,5.45784,16.67219,10.3 [5.5-16.7]
Andorra,AND,1994,8.39981,3.1314,16.83946,8.4 [3.1-16.8]
Andorra,AND,1992,4.86709,1.74962,10.13215,4.9 [1.7-10.1]
Andorra,AND,2015,12.53378,5.26114,23.31603,12.5 [5.3-23.3]
Andorra,AND,1998,6.00129,2.28427,11.91298,6.0 [2.3-11.9]
Andorra,AND,2018,9.15722,4.48406,15.5545,9.2 [4.5-15.6]
Andorra,AND,1990,5.6403,1.99712,11.60784,5.6 [2.0-11.6]
Andorra,AND,2016,10.78387,4.41265,20.33789,10.8 [4.4-20.3]
Andorra,AND,1991,6.54823,2.33344,13.49582,6.5 [2.3-13.5]
Andorra,AND,2017,9.03621,4.57593,15.0108,9.0 [4.6-15.0]
Andorra,AND,2014,8.78898,4.65539,14.1812,8.8 [4.7-14.2]
Andorra,AND,2004,9.19987,3.7423,17.66956,9.2 [3.7-17.7]
Andorra,AND,2019,8.47307,2.39889,18.94749,8.5 [2.4-18.9]
Andorra,AND,1996,5.62484,2.08779,11.39992,5.6 [2.1-11.4]
Andorra,AND,2014,12.34633,5.20983,22.81963,12.3 [5.2-22.8]
Andorra,AND,1994,7.7433,3.97461,13.06479,7.7 [4.0-13.1]
Andorra,AND,2004,9.81154,5.23601,15.91623,9.8 [5.2-15.9]
Andorra,AND,2019,10.90192,5.19014,18.6792,10.9 [5.2-18.7]
Andorra,AND,2013,10.18099,5.4946,16.22752,10.2 [5.5-16.2]
Andorra,AND,2010,8.34242,3.25792,16.50714,8.3 [3.3-16.5]
